nohup: ignoring input
[SDP] flash=False, mem_efficient=False, math=True (for higher-order gradients)
Training artifacts will be saved to: ../checkpoints/mmgj_transformer_default_2026-03-16_08-58-26

  0%|                                                                                       | 0/5000000 [00:00<?, ?it/s]
[LGN (1/1)] P-Loss: 6.663 | M-Unroll: 76.885:   0%|                                         | 0/5000000 [00:02<?, ?it/s]
[LGN (1/1)] P-Loss: 6.663 | M-Unroll: 76.885:   0%|                            | 1/5000000 [00:02<3018:28:57,  2.17s/it]
[Work (1/5)] P-Loss: 48.085 | M-Loss: 130.905:   0%|                           | 1/5000000 [00:04<3018:28:57,  2.17s/it]
[Work (4/5)] P-Loss: 35.696 | M-Loss: 121.573:   0%|                          | 46/5000000 [01:21<2395:27:23,  1.72s/it]
[Work (4/5)] P-Loss: 35.696 | M-Loss: 121.573:   0%|                          | 47/5000000 [01:21<2403:11:44,  1.73s/it]
[Work (5/5)] P-Loss: 30.264 | M-Loss: 116.288:   0%|                          | 47/5000000 [01:23<2403:11:44,  1.73s/it]
[Work (5/5)] P-Loss: 30.264 | M-Loss: 116.288:   0%|                          | 48/5000000 [01:23<2410:53:38,  1.74s/it]
[LGN (1/1)] P-Loss: 4.456 | M-Unroll: 87.346:   0%|                           | 48/5000000 [01:24<2410:53:38,  1.74s/it]
[LGN (1/1)] P-Loss: 4.456 | M-Unroll: 87.346:   0%|                           | 49/5000000 [01:24<2333:41:46,  1.68s/it]
[Work (1/5)] P-Loss: 35.432 | M-Loss: 121.549:   0%|                          | 49/5000000 [01:26<2333:41:46,  1.68s/it]
[Work (1/5)] P-Loss: 35.432 | M-Loss: 121.549:   0%|                          | 50/5000000 [01:26<2340:17:19,  1.69s/it]
[Work (2/5)] P-Loss: 41.487 | M-Loss: 126.870:   0%|                          | 50/5000000 [01:28<2340:17:19,  1.69s/it]
[Work (2/5)] P-Loss: 41.487 | M-Loss: 126.870:   0%|                          | 51/5000000 [01:28<2358:41:22,  1.70s/it]
[Work (3/5)] P-Loss: 28.204 | M-Loss: 113.011:   0%|                          | 51/5000000 [01:29<2358:41:22,  1.70s/it]
[Work (3/5)] P-Loss: 28.204 | M-Loss: 113.011:   0%|                          | 52/5000000 [01:29<2403:33:46,  1.73s/it]
[Work (4/5)] P-Loss: 27.399 | M-Loss: 112.218:   0%|                          | 52/5000000 [01:31<2403:33:46,  1.73s/it]
[Work (4/5)] P-Loss: 27.399 | M-Loss: 112.218:   0%|                          | 53/5000000 [01:31<2409:07:05,  1.73s/it]
[Work (5/5)] P-Loss: 32.837 | M-Loss: 117.709:   0%|                          | 53/5000000 [01:33<2409:07:05,  1.73s/it]
[Work (5/5)] P-Loss: 32.837 | M-Loss: 117.709:   0%|                          | 54/5000000 [01:33<2419:18:06,  1.74s/it]
[LGN (1/1)] P-Loss: 3.603 | M-Unroll: 88.481:   0%|                           | 54/5000000 [01:34<2419:18:06,  1.74s/it]
[LGN (1/1)] P-Loss: 3.603 | M-Unroll: 88.481:   0%|                           | 55/5000000 [01:34<2336:54:00,  1.68s/it]
[Work (1/5)] P-Loss: 33.006 | M-Loss: 118.569:   0%|                          | 55/5000000 [01:36<2336:54:00,  1.68s/it]
[Work (1/5)] P-Loss: 33.006 | M-Loss: 118.569:   0%|                          | 56/5000000 [01:36<2340:43:44,  1.69s/it]
[Work (2/5)] P-Loss: 36.715 | M-Loss: 122.244:   0%|                          | 56/5000000 [01:38<2340:43:44,  1.69s/it]
